id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
14245923,09a9d655-37a4-4479-8985-a10bcf7b0fce,2018-07-08 10:42:22 AM EDT,2018-07-08,2018-07-08 14:42:22 UTC,Eastern Time (US & Canada),682454,nitidifrons,Molly Garson,2018-07-11 00:55:35 UTC,2018-07-21 18:45:25 UTC,needs_id,,https://www.inaturalist.org/observations/14245923,https://static.inaturalist.org/photos/21142669/medium.jpeg,,"",,1,0,false,2,"South Oxford, ME 04217, USA",44.3306840841,-70.7597881928,263,,,,263,,,false,gps,gps,Chalciporus,Chalciporus,,Fungi,118365
25830446,b9725ff5-7894-4382-a46b-ebb121155577,Sun May 26 2019 16:32:04 GMT-0400 (EDT),2019-05-26,2019-05-26 20:32:04 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2019-05-26 20:32:59 UTC,2023-12-16 14:54:29 UTC,research,CC-BY,https://www.inaturalist.org/observations/25830446,https://inaturalist-open-data.s3.amazonaws.com/photos/40522985/medium.jpg,,"",,1,0,false,3,"Oxford County, US-ME, US",44.3312736182,-70.7513240632,5,,,,5,,open,false,,,pink lady's slipper,Cypripedium acaule,pink lady's slipper,Plantae,47588
28888281,5419c443-845b-44e1-96cf-78579d940665,2019-07-15 1:13:35 PM EDT,2019-07-15,2019-07-15 17:13:35 UTC,Eastern Time (US & Canada),1815976,tazzy1,,2019-07-15 20:26:52 UTC,2019-08-28 19:23:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/28888281,https://inaturalist-open-data.s3.amazonaws.com/photos/45057418/medium.jpeg,,"",,1,0,false,2,"South Oxford, ME 04217, USA",44.3337097168,-70.7574462891,,,,,,,,false,gps,gps,Greater Purple Fringed Orchid,Platanthera grandiflora,Greater Purple Fringed Orchid,Plantae,132322
30983827,86fc3181-7e2f-4082-bf79-d851aed4caa0,Thu Oct 04 2018 17:37:47 GMT-0400 (EDT),2018-10-04,2018-10-04 21:37:47 UTC,Eastern Time (US & Canada),2089111,kater66,Kate Rideout,2019-08-17 12:26:49 UTC,2019-08-17 12:27:12 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/30983827,https://inaturalist-open-data.s3.amazonaws.com/photos/48446214/medium.jpg,,"",,0,0,false,3,"04255, Greenwood, ME, US",44.334,-70.758575,5,,,,5,,,false,,,,Pleurocybella porrigens,angel's wings,Fungi,48509
31686152,76be5f73-da6c-4250-8a73-b85cd8524577,2019-08-15 1:05:21 PM EDT,2019-08-15,2019-08-15 17:05:21 UTC,Eastern Time (US & Canada),1815976,tazzy1,,2019-08-28 19:23:03 UTC,2019-08-29 05:33:19 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/31686152,https://inaturalist-open-data.s3.amazonaws.com/photos/49616505/medium.jpeg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3346214294,-70.759262085,,,,,,,,false,gps,gps,,Clavulinopsis,Clubs and Corals,Fungi,55244
32417884,23792790-ccef-4ad5-8433-366a5a5ac893,Mon Sep 09 2019 12:36:12 GMT-0400 (EDT),2019-09-09,2019-09-09 16:36:12 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2019-09-09 16:37:00 UTC,2025-09-29 18:35:55 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/32417884,https://inaturalist-open-data.s3.amazonaws.com/photos/50842647/medium.jpg,,"",,0,0,false,3,"Greenwood, ME, US",44.3334837584,-70.7568852883,10,,,,10,,,false,,,,Caulophyllum thalictroides,blue cohosh,Plantae,84330
89249179,b6fb9a42-00b9-4061-b8a4-07f3f4b98cde,Fri Jul 30 2021 12:10:21 GMT-0400 (EDT),2021-07-30,2021-07-30 16:10:21 UTC,Eastern Time (US & Canada),1388109,mcdonoughm,,2021-07-30 22:13:33 UTC,2021-11-08 00:47:10 UTC,research,,https://www.inaturalist.org/observations/89249179,https://static.inaturalist.org/photos/147363088/medium.jpg,,"","",1,0,false,3,"Oxford County, US-ME, US",44.3318946753,-70.75174517,98,,,,98,,open,false,,,Scaly Chanterelle,Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
89426371,f34fa859-d846-4c23-8914-d0addffb5b30,Fri Jul 30 2021 11:49:02 GMT-0400 (EDT),2021-07-30,2021-07-30 15:49:02 UTC,Eastern Time (US & Canada),1388109,mcdonoughm,,2021-08-01 02:53:30 UTC,2021-08-01 02:53:59 UTC,needs_id,,https://www.inaturalist.org/observations/89426371,https://static.inaturalist.org/photos/147673169/medium.jpg,,"","",0,0,false,3,"Greenwood, ME, US",44.332745,-70.75595,10,,,,10,,open,false,,,"",Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
89427134,75582e04-5e12-4dd8-8a62-f05660d241bb,Fri Jul 30 2021 11:50:18 GMT-0400 (EDT),2021-07-30,2021-07-30 15:50:18 UTC,Eastern Time (US & Canada),1388109,mcdonoughm,,2021-08-01 03:01:47 UTC,2023-07-24 14:40:15 UTC,needs_id,,https://www.inaturalist.org/observations/89427134,https://static.inaturalist.org/photos/147674528/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.332425,-70.7562866667,200,,,,200,,,false,,,Coral Fungi,Ramaria,Coral Fungi,Fungi,48707
92010914,3707c4d1-5673-47a7-8ca0-441097e8fb2c,2021-08-21 10:02:35,2021-08-21,2021-08-21 14:02:35 UTC,Eastern Time (US & Canada),4282247,varsha_desai,Varsha Desai,2021-08-21 20:14:25 UTC,2021-08-21 20:14:45 UTC,needs_id,,https://www.inaturalist.org/observations/92010914,https://static.inaturalist.org/photos/152278123/medium.jpeg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3342859722,-70.7593109722,,,,,,,,false,gps,gps,Waxcaps,Hygrocybe,Waxcaps,Fungi,51871
94475500,61a8ae37-9ade-4d49-88a3-a8c43b55760f,Sat Sep 11 2021 13:55:44 GMT-0400 (EDT),2021-09-11,2021-09-11 17:55:44 UTC,Eastern Time (US & Canada),2261632,pellison,,2021-09-11 19:03:24 UTC,2021-09-11 19:03:53 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/94475500,https://inaturalist-open-data.s3.amazonaws.com/photos/156721534/medium.jpg,,"","",0,0,false,3,"Greenwood, ME, US",44.3306883333,-70.75055,4,,,,4,,,false,,,"",Dacrymyces chrysospermus,Orange Jelly Spot,Fungi,118028
94494776,b33beb9e-0df9-4d9a-aa68-f9d1b3ceb0d2,Sat Sep 11 2021 14:08:51 GMT-0400 (EDT),2021-09-11,2021-09-11 18:08:51 UTC,Eastern Time (US & Canada),2261632,pellison,,2021-09-11 21:27:20 UTC,2023-07-23 21:10:06 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/94494776,https://inaturalist-open-data.s3.amazonaws.com/photos/156756991/medium.jpg,,"","",2,0,false,3,"Greenwood, ME, US",44.332675,-70.755705,4,,,,4,,,false,,,Coral Fungi,Ramaria,Coral Fungi,Fungi,48707
97839282,d99e1f37-9ecc-4351-9efe-ef17fcde1f8c,Fri Oct 08 2021 15:08:40 GMT-0400 (EDT),2021-10-08,2021-10-08 19:08:40 UTC,Eastern Time (US & Canada),1380971,jeffi,,2021-10-10 23:35:54 UTC,2021-10-11 12:13:26 UTC,research,,https://www.inaturalist.org/observations/97839282,https://static.inaturalist.org/photos/162782489/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.33355,-70.7580033333,4,,,,4,,open,false,,,striped maple,Acer pensylvanicum,striped maple,Plantae,48095
118792174,62610db7-8a5f-4e42-8771-d19a6a3de0ad,2022-05-26 11:28:27-04:00,2022-05-26,2022-05-26 15:28:27 UTC,Eastern Time (US & Canada),962657,emilye,,2022-05-26 15:28:41 UTC,2024-10-09 18:41:30 UTC,needs_id,,https://www.inaturalist.org/observations/118792174,https://static.inaturalist.org/photos/245574042/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.3321952703,-70.752338054,8,,,,8,,,false,,,"Artist's Brackets, Reishi, and Allies",Ganoderma,"Artist's Brackets, Reishi, and Allies",Fungi,48475
160556143,d56ea2b7-2335-422b-91c1-999a1db7c067,2023-05-08 09:31:10,2023-05-08,2023-05-08 13:31:10 UTC,Eastern Time (US & Canada),1521016,curiouswanderer,Sue,2023-05-08 13:31:52 UTC,2024-05-20 11:28:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/160556143,https://inaturalist-open-data.s3.amazonaws.com/photos/277449947/medium.jpeg,,"",,2,0,false,2,"South Oxford, ME 04217, USA",44.3348879733,-70.7594844973,27,,,,27,,open,false,,,painted trillium,Trillium undulatum,painted trillium,Plantae,51435
160556497,62ed604e-18bb-4f94-972e-423158386b41,2023-05-08 09:34:14,2023-05-08,2023-05-08 13:34:14 UTC,Eastern Time (US & Canada),1521016,curiouswanderer,Sue,2023-05-08 13:34:56 UTC,2023-05-13 21:03:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/160556497,https://inaturalist-open-data.s3.amazonaws.com/photos/277450723/medium.jpeg,,"",,2,0,false,2,"South Oxford, ME 04217, USA",44.3347050898,-70.7592918251,8,,,,8,,,false,,,green false hellebore,Veratrum viride,green false hellebore,Plantae,79484
160560862,bfd82c24-b3f1-4861-9a91-06b16a5364eb,2023-05-08 10:04:36,2023-05-08,2023-05-08 14:04:36 UTC,Eastern Time (US & Canada),1521016,curiouswanderer,Sue,2023-05-08 14:05:31 UTC,2023-06-05 09:42:44 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/160560862,https://inaturalist-open-data.s3.amazonaws.com/photos/277458412/medium.jpeg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3328054071,-70.7538385723,10,,,,10,,open,false,,,small white violet,Viola minuscula,northern white violet,Plantae,1392347
160570318,ae793408-e759-4ccf-8c5a-7288bcb4bc45,2023-05-08 11:06:54,2023-05-08,2023-05-08 15:06:54 UTC,Eastern Time (US & Canada),1521016,curiouswanderer,Sue,2023-05-08 15:08:12 UTC,2023-05-08 15:08:30 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/160570318,https://inaturalist-open-data.s3.amazonaws.com/photos/277475268/medium.jpeg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3360225483,-70.7610320246,12,,,,12,,,false,,,serviceberries,Amelanchier,serviceberries,Plantae,49230
160941984,4baae1e9-bceb-4c6d-91d0-9c8f9d932e30,2023-05-10 12:53:44-04:00,2023-05-10,2023-05-10 16:53:44 UTC,Eastern Time (US & Canada),2261632,pellison,,2023-05-10 17:57:13 UTC,2023-05-10 18:05:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/160941984,https://inaturalist-open-data.s3.amazonaws.com/photos/278150088/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.333355,-70.7565283333,4,,,,4,,,false,,,Carolina spring-beauty,Claytonia caroliniana,Carolina Springbeauty,Plantae,67775
160942275,d1b7a97e-e125-4e89-a142-e69d2d73a937,2023-05-10 12:14:44-04:00,2023-05-10,2023-05-10 16:14:44 UTC,Eastern Time (US & Canada),2261632,pellison,,2023-05-10 17:58:50 UTC,2023-05-10 19:58:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/160942275,https://inaturalist-open-data.s3.amazonaws.com/photos/278150647/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.3355533333,-70.7604583333,4,,,,4,,,false,,,dwarf ginseng,Panax trifolius,dwarf ginseng,Plantae,123049
160942562,34664f22-708e-4f30-ab0f-093e5f99f57d,2023-05-10 12:42:13-04:00,2023-05-10,2023-05-10 16:42:13 UTC,Eastern Time (US & Canada),2261632,pellison,,2023-05-10 18:00:58 UTC,2023-05-10 19:15:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/160942562,https://inaturalist-open-data.s3.amazonaws.com/photos/278151210/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.3335966667,-70.7573783333,5,,,,5,,,false,,,wood anemone,Anemonoides quinquefolia,wood anemone,Plantae,950598
160942835,19a4382a-0209-4025-8034-bdd092c692f1,2023-05-10 12:13:42-04:00,2023-05-10,2023-05-10 16:13:42 UTC,Eastern Time (US & Canada),2261632,pellison,,2023-05-10 18:02:56 UTC,2023-07-10 20:03:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/160942835,https://inaturalist-open-data.s3.amazonaws.com/photos/278151726/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.3354866667,-70.760425,4,,,,4,,open,false,,,painted trillium,Trillium undulatum,painted trillium,Plantae,51435
161689981,b87a54f9-4d5d-4e86-9937-34c3ab4b22f8,2023-05-06 16:41:26-04:00,2023-05-06,2023-05-06 20:41:26 UTC,Eastern Time (US & Canada),1078386,eetucek,,2023-05-14 21:35:38 UTC,2024-02-18 05:34:20 UTC,research,,https://www.inaturalist.org/observations/161689981,https://static.inaturalist.org/photos/279497386/medium.jpg,,"","",2,0,false,3,"Greenwood, ME, US",44.3355216667,-70.76062,5,,,,5,,open,false,,,painted trillium,Trillium undulatum,painted trillium,Plantae,51435
161690114,9defd2b2-b200-4d87-a652-e967e7b07dcb,2023-05-06 15:44:47-04:00,2023-05-06,2023-05-06 19:44:47 UTC,Eastern Time (US & Canada),1078386,eetucek,,2023-05-14 21:36:42 UTC,2025-01-20 04:09:51 UTC,research,,https://www.inaturalist.org/observations/161690114,https://static.inaturalist.org/photos/279497722/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.335455,-70.7605583333,4,,,,4,,,false,,,sessile bellwort,Uvularia sessilifolia,sessile bellwort,Plantae,67772
161828251,ea1aee1e-7168-42d6-aa71-a7fba0c607b4,2023-05-15 08:52:53-04:00,2023-05-15,2023-05-15 12:52:53 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2023-05-15 16:52:13 UTC,2023-12-16 14:54:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/161828251,https://inaturalist-open-data.s3.amazonaws.com/photos/279750974/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.3326675478,-70.7570522916,344,,,,344,,,false,,,threeleaf goldthread,Coptis trifolia,threeleaf goldthread,Plantae,126251
171501381,bf23a10e-0c89-4539-b888-68753a18ae31,2023-07-06 14:48:21,2023-07-06,2023-07-06 18:48:21 UTC,Eastern Time (US & Canada),4465482,wanderingeden,"",2023-07-07 03:46:52 UTC,2023-11-18 06:21:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/171501381,https://inaturalist-open-data.s3.amazonaws.com/photos/297605504/medium.jpeg,,"",,1,0,false,2,"Oxford County, US-ME, US",44.3317523491,-70.7513461778,,,,,27348,obscured,,true,gps,gps,clasping Venus's looking glass,Triodanis perfoliata,clasping Venus's looking glass,Plantae,64293
173971624,7d5f5c97-7cfe-469c-b4f8-b5b1def15033,2023-07-20 10:33:08-04:00,2023-07-20,2023-07-20 14:33:08 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2023-07-20 17:59:19 UTC,2023-07-20 18:01:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/173971624,https://inaturalist-open-data.s3.amazonaws.com/photos/302182172/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.3338133333,-70.7584216667,44,,,,44,,,false,,,orange gilled waxcap,Humidicutis marginata,orange gilled waxcap,Fungi,125684
175965996,7527fab5-9974-4fb4-9e28-57d706b41e77,2023-07-23 11:55:04-04:00,2023-07-23,2023-07-23 15:55:04 UTC,Eastern Time (US & Canada),69020,vegematic,Nancy Eaton,2023-07-31 17:33:13 UTC,2023-07-31 17:33:38 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/175965996,https://inaturalist-open-data.s3.amazonaws.com/photos/305867849/medium.jpg,,"","",0,0,false,3,"Greenwood, ME, US",44.3317716667,-70.7516466667,11,,,,11,,,false,,,"",Geoglossum,Earth Tongues,Fungi,123258
175966531,6d63a042-3d0d-4976-9c01-0abe3612be0a,2023-07-23 09:00:46-04:00,2023-07-23,2023-07-23 13:00:46 UTC,Eastern Time (US & Canada),69020,vegematic,Nancy Eaton,2023-07-31 17:36:45 UTC,2023-07-31 17:51:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/175966531,https://inaturalist-open-data.s3.amazonaws.com/photos/305868830/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.3327116667,-70.7557966667,3,,,,3,,open,false,,,Scaly Chanterelle,Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
184558812,80dd639b-3a9a-493e-8882-dd0801d794a2,2023-09-22 13:26:56-04:00,2023-09-22,2023-09-22 17:26:56 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2023-09-23 17:25:21 UTC,2023-09-24 01:21:28 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/184558812,https://inaturalist-open-data.s3.amazonaws.com/photos/322176592/medium.jpg,,"","",0,0,false,3,"Greenwood, ME, US",44.3313665811,-70.7574133935,196,,,,196,,,false,,,"",Pholiota,Scalycaps,Fungi,64076
190795579,e93bb0df-b4b4-44bb-a147-e7e7ac9eff88,2023-11-12 09:44:35-05:00,2023-11-12,2023-11-12 14:44:35 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2023-11-12 14:45:22 UTC,2023-12-16 14:54:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/190795579,https://inaturalist-open-data.s3.amazonaws.com/photos/334559567/medium.jpg,,"","",1,0,false,3,"Mayville Rd, Bethel, ME, US",44.3330536659,-70.7562440483,8,,,,8,,,false,,,Tree Lungwort,Lobaria pulmonaria,Tree Lungwort,Fungi,48711
190797271,c395c719-c4a2-4a3b-b96d-c84c5b9515ad,2023-11-12 09:59:36-05:00,2023-11-12,2023-11-12 14:59:36 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2023-11-12 15:02:52 UTC,2023-12-16 14:54:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/190797271,https://inaturalist-open-data.s3.amazonaws.com/photos/334560094/medium.jpg,,"","",2,0,false,3,"Greenwood, ME, US",44.3312716667,-70.75312,45,,,,45,,open,false,,,tamarack,Larix laricina,tamarack,Plantae,58721
190836444,902b6b7b-7772-40bf-a196-29a36e0ef1d7,2023-11-12 11:19:08-05:00,2023-11-12,2023-11-12 16:19:08 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2023-11-12 21:21:11 UTC,2023-12-16 14:54:05 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/190836444,https://inaturalist-open-data.s3.amazonaws.com/photos/334635510/medium.jpg,,"","",0,0,false,3,"Greenwood, ME, US",44.3323883333,-70.7519216667,212,,,,212,,,false,,,"",Plagiomnium,Thyme and Allied Mosses,Plantae,122672
190836506,50fa7979-0762-4fe2-b008-f1d6ae666b8f,2023-11-12 11:15:10-05:00,2023-11-12,2023-11-12 16:15:10 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2023-11-12 21:21:51 UTC,2023-12-16 14:54:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/190836506,https://inaturalist-open-data.s3.amazonaws.com/photos/334635652/medium.jpg,,"","",2,0,false,3,"Greenwood, ME, US",44.3306283333,-70.7507866667,14,,,,14,,,false,,,partridgeberry,Mitchella repens,partridgeberry,Plantae,83799
